title,price,rating,location,Amenities,image
City Premiere Marina Hotel Apartments,₹ 239+,8.5 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img src=""https://content.r9cdn.net/rimg/himg/75/f3/dc/leonardo-2008092-City_Premiere_Marina_-_Twin_Three_Bedroom__Apartment_O-245137.jpg?width=335&amp;height=268&amp;crop=true"" alt=""City Premiere Marina Hotel Apartments - Dubai - Bedroom"" class=""soom-photo"">"
"Radisson Blu Hotel, Dubai Deira Creek",₹ 148+,8.5 Excellent,Deira,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Radisson Blu Hotel, Dubai Deira Creek - Dubai - Bedroom"">"
JA Ocean View Hotel,₹ 341+,8.4 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""JA Ocean View Hotel - Dubai - Pool"">"
Nikki Beach Resort & Spa Dubai,₹ 682+,8.7 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Nikki Beach Resort &amp; Spa Dubai - Dubai - Balcony"">"
Dubai Marriott Harbour Hotel & Suites,₹ 348+,8.8 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Dubai Marriott Harbour Hotel &amp; Suites - Dubai - Living room"">"
Arjaan by Rotana Dubai Media City,₹ 200+,7.8 Good,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Arjaan by Rotana Dubai Media City - Dubai - Pool"">"
"Intercontinental Dubai Marina, An IHG Hotel",₹ 375+,8.6 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Intercontinental Dubai Marina, An IHG Hotel - Dubai - Lounge"">"
Sheraton Jumeirah Beach Resort,₹ 353+,7.8 Good,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Sheraton Jumeirah Beach Resort - Dubai - Lobby"">"
"Dukes The Palm, a Royal Hideaway Hotel",₹ 285+,8.2 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Dukes The Palm, a Royal Hideaway Hotel - Dubai - Pool"">"
Hilton Dubai Jumeirah,₹ 388+,8.1 Excellent,Dubai Marina,"Parking,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Hilton Dubai Jumeirah - Dubai - Restaurant"">"
Waldorf Astoria Dubai Palm Jumeirah,₹ 501+,8.6 Excellent,,"Parking,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Waldorf Astoria Dubai Palm Jumeirah - Dubai - Bedroom"">"
Le Royal Meridien Beach Resort And Spa,₹ 472+,9.2 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Le Royal Meridien Beach Resort And Spa - Dubai - Lounge"">"
Jumeirah Creekside Hotel,₹ 210+,8.9 Excellent,,"Parking,Free Wi-Fi,Pool,Pet-friendly","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Jumeirah Creekside Hotel - Dubai - Bedroom"">"
Hilton Dubai The Walk,₹ 317+,8.2 Excellent,Dubai Marina,"Parking,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Hilton Dubai The Walk - Dubai - Living room"">"
Le Méridien Mina Seyahi Beach Resort & Waterpark,₹ 426+,8.2 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Le Méridien Mina Seyahi Beach Resort &amp; Waterpark - Dubai - Beach"">"
Pearl City Suites,₹ 749+,6.1 Good,Deira,"Free Wi-Fi,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Pearl City Suites - Dubai - Pool"">"
Ivory Grand Hotel Apartments,₹ 133+,8.2 Excellent,Al Barsha,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ivory Grand Hotel Apartments - Dubai - Pool"">"
Grand Stay Hotel Dubai,₹ 171+,7.5 Good,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Grand Stay Hotel Dubai - Dubai - Bedroom"">"
Aparthotel Adagio Premium Dubai Al Barsha,₹ 187+,8.2 Excellent,Al Barsha,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Aparthotel Adagio Premium Dubai Al Barsha - Dubai - Pool"">"
Damac Maison Distinction,₹ 268+,8.9 Excellent,Downtown Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Damac Maison Distinction - Dubai - Balcony"">"
DAMAC Maison de Ville Breeze,₹ 166+,8.3 Excellent,Business Bay,Free Wi-Fi,"<img class=""ATNn ATNn-hidden soom-photo"" alt=""DAMAC Maison de Ville Breeze - Dubai"">"
"Marriott Executive Apartments Dubai, Al Jaddaf",₹ 217+,8.6 Excellent,Bur Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Marriott Executive Apartments Dubai, Al Jaddaf - Dubai - Building"">"
Address Dubai Mall,₹ 643+,8.9 Excellent,Downtown Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Address Dubai Mall - Dubai - Lounge"">"
Burj Al Arab Jumeirah,"₹ 1,753+",9 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Burj Al Arab Jumeirah - Dubai - Living room"">"
Millennium Plaza Hotel Dubai,₹ 212+,8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Millennium Plaza Hotel Dubai - Dubai - Pool"">"
The Retreat Palm Dubai - MGallery,₹ 272+,8.1 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""The Retreat Palm Dubai - MGallery - Dubai - Bedroom"">"
Address Dubai Marina,₹ 430+,9.3 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Address Dubai Marina - Dubai - Restaurant"">"
Ascott Park Place Dubai,₹ 207+,8.5 Excellent,,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ascott Park Place Dubai - Dubai - Living room"">"
Al Khoory Atrium Hotel,₹ 111+,8.3 Excellent,Al Barsha,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Al Khoory Atrium Hotel - Dubai - Pool"">"
Bonnington Jumeirah Lakes Towers,₹ 225+,8.1 Excellent,,"Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Bonnington Jumeirah Lakes Towers - Dubai - Bar"">"
"Habtoor Grand Resort, Autograph Collection",₹ 392+,8.1 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Habtoor Grand Resort, Autograph Collection - Dubai - Living room"">"
Grand Hyatt Dubai,₹ 268+,8.9 Excellent,Bur Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Grand Hyatt Dubai - Dubai - Restaurant"">"
Hyatt Place Residences Dubai / Al Rigga,₹ 143+,7.7 Good,Deira,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Hyatt Place Residences Dubai / Al Rigga - Dubai - Bedroom"">"
Holiday Inn Express Dubai - Internet City,₹ 110+,8 Excellent,,"Parking,Free Wi-Fi","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Holiday Inn Express Dubai - Internet City - Dubai - Bedroom"">"
Address Boulevard,₹ 669+,9.1 Excellent,Downtown Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Address Boulevard - Dubai - Lounge"">"
Rixos Premium Dubai Jbr,₹ 464+,9.1 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Rixos Premium Dubai Jbr - Dubai - Restaurant"">"
Grand Hyatt Residence,₹ 316+,8.4 Excellent,Bur Dubai,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Grand Hyatt Residence - Dubai - Pool"">"
Welcome Hotel Apartments (Deluxe),₹ 53+,10 Excellent,Deira,"Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Welcome Hotel Apartments (Deluxe) - Dubai - Front desk"">"
ibis Styles Dubai Jumeira,₹ 102+,7.3 Good,Al Mina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""ibis Styles Dubai Jumeira - Dubai - Pool"">"
Atlantis The Palm,₹ 612+,8.8 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Atlantis The Palm - Dubai - Beach"">"
Ramee Guestline Apartment 2,₹ 53+,Bur Dubai,Bur Dubai,,"<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ramee Guestline Apartment 2 - Dubai"">"
Ramada Hotel and Suites by Wyndham Dubai JBR,₹ 217+,7.9 Good,Dubai Marina,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Ramada Hotel and Suites by Wyndham Dubai JBR - Dubai - Restaurant"">"
Fairmont The Palm,₹ 412+,8.2 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Fairmont The Palm - Dubai - Pool"">"
Five Palm Jumeirah Dubai,₹ 633+,8.9 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Five Palm Jumeirah Dubai - Dubai - Bedroom"">"
One and Only Royal Mirage - Residence & Spa,"₹ 1,328+",Dubai Marina,Dubai Marina,"Free Wi-Fi,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""One and Only Royal Mirage - Residence &amp; Spa - Dubai - Pool"">"
Atana Hotel,₹ 105+,8.2 Excellent,Barsha Heights,"Parking,Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Atana Hotel - Dubai - Building"">"
Jumeirah Emirates Towers,₹ 299+,9.2 Excellent,,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Jumeirah Emirates Towers - Dubai - Living room"">"
Jumeirah Living - World Trade Centre Residence,₹ 431+,9 Excellent,,"Parking,Free Wi-Fi,Pool,Pet-friendly","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Jumeirah Living - World Trade Centre Residence - Dubai - Bedroom"">"
Marmara Hotel Apartments,₹ 60+,8.2 Excellent,Al Barsha,Free Wi-Fi,"<img class=""ATNn ATNn-hidden soom-photo"" alt=""Marmara Hotel Apartments - Dubai"">"
Mövenpick Hotel Jumeirah Beach,₹ 284+,8 Excellent,Dubai Marina,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Mövenpick Hotel Jumeirah Beach - Dubai - Bedroom"">"
Holiday Inn Express Dubai - Safa Park,₹ 148+,8.1 Excellent,Al Wasl,"Parking,Free Wi-Fi","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Holiday Inn Express Dubai - Safa Park - Dubai - Lobby"">"
"Amwaj Rotana, Jumeirah Beach - Dubai",₹ 324+,8.3 Excellent,Dubai Marina,"Free Wi-Fi,Pool","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Amwaj Rotana, Jumeirah Beach - Dubai - Dubai - Living room"">"
Dubai Marine Beach Resort & Spa,₹ 362+,7.5 Good,Jumeirah,"Parking,Free Wi-Fi,Pool,Spa","<img class=""ATNn ATNn-hidden soom-photo"" alt=""Dubai Marine Beach Resort &amp; Spa - Dubai - Beach"">"
